danceability,energy,key note,loudness (dB),speechiness,acousticness,instrumentalness,liveness,valence,tempo (BPM),duration (s)
68.9,52.1,0,-5.845,13.2,11.9,0.00841,10.8,17.8,95.055,230
64.7,82.3,2,-5.231,7.62,5.98,0,11.9,39.6,99.933,230
63,53,0,-7.259,4.34,40,0,17.7,41.7,108.038,225
48.5,61.9,5,-7.115,2.89,9.41,0.000331,10.9,41.6,138.017,242
61.6,76.5,0,-6.75,7.8,0.29,0,14.9,34.3,122.916,219
33,93.6,1,-3.66,9.17,0.108,0,9.26,23.4,148.112,223
80.4,45.9,11,-11.556,3.9,30.4,8.62,11,37.2,111.963,299
88.6,52.5,8,-7.39,13.2,23.6,0,5.7,70.8,145.99,225
81.9,91.3,4,-3.059,4.27,9.35,0.00372,16.1,53.6,119.989,219
62.4,87.6,9,-3.374,10,7.35,0,32.7,78.1,99.943,171
65.3,62.3,6,-5.273,8.2,25.3,0,14.4,40.1,123.999,234
52.1,75.2,11,-5.374,3.69,1.91,0,6.82,30,105.051,244
50.8,72,11,-5.908,6.28,27.2,0,5.63,47.2,79.983,262
69.9,52.9,2,-7.548,4.87,3.17,0.00359,28.5,12.1,119.987,206
87.4,69.2,5,-5.28,4.31,4.12,0.00724,32.4,93.7,116.017,179
63.4,81.5,2,-6.2,16.8,18.8,0.0276,17.4,70.8,133.963,194
73.2,72.7,6,-3.708,2.95,10.2,0,11.2,24.3,125.062,221
81.8,72.1,1,-5.512,6.58,3.3,0,34.5,37.8,97.966,285
71.4,90.5,8,-2.663,2.89,0.855,0.00255,14.6,83.8,125.927,155
41,89.3,6,-4.347,3.42,0.0714,0,20.2,68.8,174.648,258
64.8,83.1,2,-5.573,2.9,0.117,0.31,19.8,33.1,112.013,188
86.9,68.7,1,-6.816,26.3,2.08,0.0001,11.4,66.8,96.006,234
71.2,79.9,5,-3.44,3.29,4.63,0,8.36,70,93.015,219
73.1,63.9,9,-6.597,3.59,2.06,0.00129,7.89,52.7,122.08,158
62.5,72.6,10,-7.731,15.5,0.728,0,31.8,48.3,103.98,312
56.4,81.1,1,-5.734,5.13,1.53,0.000872,12.5,11.4,126.007,215
44.9,58.5,5,-6.762,2.68,5.22,0.00849,8.33,20.3,139.627,279
68.4,71,11,-3.614,7.79,1.32,0,44.4,45.1,93.007,222
68.2,76.7,9,-4.628,10.2,10.6,0,16.3,72.2,113.842,224
40,91.5,0,-4.89,28,8.46,0,5.03,87.8,88.917,199
77.5,82.5,7,-5.402,4.64,5.06,0.000103,11.1,95,139.091,183
37.9,29,4,-8.485,5.1,95.2,0.106,11.8,16.9,166.467,201
52.6,86.2,2,-6.003,9.05,1.44,5.97,22.9,52.8,90.052,195
68.3,70.8,5,-6.244,3.05,3.98,15.5,68.6,35.5,92.991,238
78.6,68.7,0,-5.914,14.1,0.758,0,61.9,34.5,105.021,215
75.7,88.4,10,-5.488,4.04,0.795,0.00587,9.73,39.8,120.012,218
74.1,62.6,1,-4.826,8.86,2,0,8.28,70.6,108.029,188
51.6,90.6,1,-4.525,6.58,0.00286,0.0101,10.5,72.8,116.775,302
67.2,73.8,0,-7.045,5.06,1.78,0.00675,9.27,39.2,107.938,277
64.2,82.3,0,-5.717,2.89,0.159,0,7.76,43.1,122.977,227
54.2,90.5,9,-5.653,5.4,0.172,1.04,13.6,37.4,153.398,203
67.3,90.2,2,-2.378,3.47,6.29,0.0174,5.52,52.1,100.016,194
65.6,88.4,2,-4.748,3.72,1.62,0,14.5,86,105.009,238
60,66.3,3,-5.802,4.77,22.5,0,11.9,28.6,121.07,245
57.1,61.2,7,-9.851,4.5,22.9,0,12.7,8.12,133.995,249
78.2,61.7,5,-7.385,5.35,4.53,0.0187,14.3,49.5,130.032,284
70.8,84.3,7,-2.66,31.4,39.7,0,79.9,62.5,148.14,364
71.6,97.2,7,-2.302,19.6,1.45,0.00322,31.7,57.6,110.026,215
58.4,61.4,5,-5.587,3.63,0.506,0.0097,8.02,28,114.075,215
69.5,67.2,1,-6.109,3.45,1.4,0.00844,7.56,24.5,104.988,236
31.4,61.1,9,-6.691,12.9,4.27,0.00628,18.4,6.04,191.447,200
64.5,89.1,6,-2.505,3.87,9.32,0.000388,37.9,56.8,124.915,204
30.7,42.5,11,-8.924,3.72,27.1,0.00309,11,13.6,108.693,236
68.2,83.6,9,-3.777,4.25,4.64,0.000313,7.97,48.5,104.987,216
82.8,60.9,1,-4.402,6.94,9.16,0.000121,29.1,70.7,109.725,293
60.5,87.3,1,-5.938,3.44,5.34,83.7,31.4,47.6,126.026,200
69.5,61.5,7,-5.325,4.2,15,0.0212,8.79,41.4,124.015,240
65.4,62.9,7,-6.612,3.8,35.4,0.00102,12.4,49.1,99.956,167
92,65.4,11,-3.051,4.01,2.36,1.58,3.59,84.7,117.046,294
50.2,78.6,9,-4.378,31.7,25.5,0,65,73.9,169.021,243
74.7,71.6,11,-2.457,7.5,13.5,0,25.1,75.1,125.008,211
55,91.9,8,-3.431,7.86,13.7,0.123,8.86,51.1,126.065,184
57.3,92.9,8,-3.942,10.9,19.7,0.0112,5.67,58.2,127.934,213
68.5,53.9,2,-6.964,9.08,6.35,0.000812,24.9,15.7,145.075,338
54.2,85.3,3,-6.407,4.98,1.03,0,10.8,37,105.256,217
